id,date,time,temp,hum,vibr
,17/11/2021,17:25:33,29.58,66.24,0.02
,17/11/2021,17:25:52,29.66,66.07,-0.40
,17/11/2021,17:26:12,29.71,65.78,-0.22
,17/11/2021,17:26:32,29.75,63.26,0.10
,17/11/2021,17:26:51,29.80,65.20,-0.27
,17/11/2021,17:27:12,29.90,65.45,0.36
,17/11/2021,17:27:31,29.97,64.85,0.30
,17/11/2021,17:27:52,29.96,64.59,0.13
,17/11/2021,17:28:11,30.00,64.58,0.10
,17/11/2021,17:28:30,30.05,64.46,0.23
,17/11/2021,17:28:51,30.03,63.30,-0.03
,17/11/2021,17:29:10,30.01,64.30,0.12
,17/11/2021,17:29:30,30.03,64.36,-0.11
,17/11/2021,17:29:50,30.08,63.10,0.15
,17/11/2021,17:30:09,30.12,63.92,-0.41
,17/11/2021,17:30:29,30.12,64.18,0.11
,17/11/2021,17:30:49,30.11,63.97,-0.73
,17/11/2021,17:31:09,30.08,64.30,-0.04
,17/11/2021,17:31:29,30.00,64.64,0.03
,17/11/2021,17:31:48,29.90,65.12,0.05
,17/11/2021,17:32:08,29.85,64.06,0.11
,17/11/2021,17:32:29,29.86,63.11,0.09
,17/11/2021,17:32:48,29.88,64.31,0.07
,17/11/2021,17:33:08,29.90,65.08,0.09
,17/11/2021,17:33:28,29.97,65.22,0.08
,17/11/2021,17:33:47,30.05,64.70,0.05
,17/11/2021,17:34:07,30.08,63.57,0.07
,17/11/2021,17:34:27,30.14,64.69,0.10
,17/11/2021,17:34:47,30.16,65.06,0.54
,17/11/2021,17:35:06,30.15,65.12,-0.27
,17/11/2021,17:35:26,30.14,65.24,-0.02
,17/11/2021,17:35:46,30.18,64.93,0.14
,17/11/2021,17:36:06,30.19,65.33,0.16
,17/11/2021,17:36:26,30.20,65.19,0.12
,17/11/2021,17:36:45,30.15,65.31,-0.26
,17/11/2021,17:37:05,30.11,65.43,0.15
,17/11/2021,17:37:25,30.04,64.10,-0.21
,17/11/2021,17:37:45,29.99,65.33,-0.04
,17/11/2021,17:38:05,29.88,64.69,0.02
,17/11/2021,17:38:25,29.81,65.45,0.14
,17/11/2021,17:38:44,29.66,57.74,0.45
,17/11/2021,17:39:09,29.41,57.01,0.28
,17/11/2021,17:39:25,29.13,57.22,-0.07
,17/11/2021,17:39:43,29.09,62.92,0.13
,17/11/2021,17:40:03,29.36,69.37,-0.03
,17/11/2021,17:40:22,29.62,70.50,0.54
,17/11/2021,17:40:42,29.80,70.39,0.26
,17/11/2021,17:41:02,29.84,70.45,0.01
,17/11/2021,17:41:22,29.85,70.83,0.19
,17/11/2021,17:41:41,29.85,71.12,0.40
,17/11/2021,17:42:01,29.84,71.46,0.52
,17/11/2021,17:42:21,29.84,71.80,0.58
,17/11/2021,17:42:42,29.84,72.15,-0.01
,17/11/2021,17:43:01,29.70,59.38,0.48
,17/11/2021,17:43:20,29.43,53.64,-0.06
,17/11/2021,17:43:40,29.17,52.33,-0.03
,17/11/2021,17:44:02,28.93,52.06,0.07
,17/11/2021,17:44:19,28.72,52.09,0.06
,17/11/2021,17:44:39,28.53,52.12,0.32
,17/11/2021,17:44:59,28.38,52.11,0.00
,17/11/2021,17:45:19,28.24,52.20,0.43
,17/11/2021,17:45:39,28.09,52.26,0.06
,17/11/2021,17:45:58,27.96,52.14,-0.60
,17/11/2021,17:46:18,27.87,52.06,-0.02
,17/11/2021,17:46:38,27.76,52.03,0.15
,17/11/2021,17:46:58,27.66,52.05,0.04
,17/11/2021,17:47:18,27.60,52.00,0.46
,17/11/2021,17:47:37,27.52,51.84,0.16
,17/11/2021,17:47:57,27.45,51.70,-0.08
,17/11/2021,17:48:17,27.35,51.50,-0.17
,17/11/2021,17:48:39,27.30,51.37,0.49
,17/11/2021,17:48:57,27.23,51.23,0.06
,17/11/2021,17:49:16,27.16,51.09,0.26
,17/11/2021,17:49:36,27.12,51.03,0.66
,17/11/2021,17:49:56,27.07,50.93,0.35
,17/11/2021,17:50:15,27.04,50.82,0.38
,17/11/2021,17:50:35,27.00,50.59,-0.18
,17/11/2021,17:50:55,26.95,50.32,0.36
,17/11/2021,17:51:15,26.91,50.21,0.08
,17/11/2021,17:51:35,26.88,50.09,0.55
,17/11/2021,17:51:54,26.87,49.89,-0.23
,17/11/2021,17:52:14,26.84,49.75,-0.11
,17/11/2021,17:52:34,26.82,49.40,0.59
,17/11/2021,17:52:54,26.78,49.18,-0.16
,17/11/2021,17:53:13,26.74,49.07,-0.14
,17/11/2021,17:53:33,26.72,48.99,-0.50
,17/11/2021,17:53:53,26.69,48.63,-0.10
,17/11/2021,17:54:13,26.66,48.46,-0.46
,17/11/2021,17:54:33,26.62,48.32,0.33
,17/11/2021,17:54:53,26.58,48.08,0.20
,17/11/2021,17:55:14,26.53,47.94,0.29
,17/11/2021,17:55:32,26.47,47.75,-0.15
,17/11/2021,17:55:52,26.43,47.63,-0.23
,17/11/2021,17:56:11,26.40,47.48,-0.27
,17/11/2021,17:56:31,26.38,47.36,0.29
,17/11/2021,17:57:34,26.32,46.97,0.32
,17/11/2021,17:58:32,26.31,46.76,0.13
,17/11/2021,17:59:08,26.25,46.26,-0.47
,17/11/2021,17:59:47,26.27,45.87,0.28
,17/11/2021,18:00:50,26.28,45.61,-0.20
,17/11/2021,18:01:08,26.31,46.55,0.01
,17/11/2021,18:01:46,26.32,47.29,-0.12
,17/11/2021,18:02:26,26.28,47.67,0.21
,17/11/2021,18:03:30,26.29,47.56,-0.25
,17/11/2021,18:04:04,26.34,47.37,0.53
,17/11/2021,18:04:26,26.36,47.58,0.37
,17/11/2021,18:05:04,26.38,47.85,-0.22
,17/11/2021,18:06:08,26.42,48.16,0.23
,17/11/2021,18:06:44,26.42,48.91,0.06
,17/11/2021,18:07:22,26.42,49.49,0.22
,17/11/2021,18:08:02,26.40,50.10,-0.05
,17/11/2021,18:08:46,26.43,50.34,-0.15
,17/11/2021,18:09:04,26.46,50.18,0.12
,17/11/2021,18:09:41,26.46,50.13,0.19
,17/11/2021,18:10:20,26.48,50.29,-0.05
,17/11/2021,18:11:00,26.50,50.95,-0.41
,17/11/2021,18:11:39,26.53,51.51,0.28
,17/11/2021,18:12:42,26.55,51.48,0.29
,17/11/2021,18:13:18,26.50,51.15,0.02
,17/11/2021,18:14:02,26.47,50.99,0.22
,17/11/2021,18:15:01,26.47,51.09,0.27
,17/11/2021,18:16:00,26.47,50.71,-0.33
,17/11/2021,18:16:35,26.35,50.51,0.28
,17/11/2021,18:17:16,26.28,50.28,-0.19
,17/11/2021,18:18:23,26.12,49.74,0.24
,17/11/2021,18:18:54,26.09,49.26,0.40
,17/11/2021,18:19:15,26.03,48.91,0.15
,17/11/2021,18:19:53,26.04,48.71,0.01
,17/11/2021,18:20:15,26.04,48.24,-0.12
,17/11/2021,18:21:16,26.03,48.02,0.54
,17/11/2021,18:21:52,25.94,47.41,-0.08
,17/11/2021,18:22:13,25.96,47.02,0.30
,17/11/2021,18:22:51,25.93,46.73,0.12
,17/11/2021,18:23:35,25.94,46.31,0.52
,17/11/2021,18:24:12,25.96,45.80,0.10
,17/11/2021,18:24:50,25.90,45.40,-0.05
,17/11/2021,18:25:29,25.89,45.09,0.18
,17/11/2021,18:25:50,25.85,44.68,0.25
,17/11/2021,18:26:28,25.82,44.56,0.63
,17/11/2021,18:26:50,25.77,44.21,0.23
,17/11/2021,18:27:28,25.77,44.12,-0.20
,17/11/2021,18:29:13,25.74,44.14,0.07
,17/11/2021,18:29:46,25.75,43.78,0.06
,17/11/2021,18:30:26,25.81,44.43,0.05
,17/11/2021,18:31:05,25.89,45.17,0.09
,17/11/2021,18:31:27,25.97,44.96,0.06
,17/11/2021,18:33:05,26.23,46.12,0.07
,17/11/2021,18:33:43,26.27,45.31,0.08
,17/11/2021,18:34:05,26.36,47.56,0.07
,17/11/2021,18:34:43,26.40,46.43,0.08
,17/11/2021,18:35:22,26.47,43.96,0.08
,17/11/2021,18:37:41,26.76,46.08,0.07
,17/11/2021,18:38:20,26.82,47.09,0.08
,17/11/2021,18:39:00,26.89,46.83,0.08
,17/11/2021,18:39:21,26.96,44.60,0.06
,17/11/2021,18:40:00,27.00,45.51,0.09
,17/11/2021,18:40:39,27.06,44.51,0.11
,17/11/2021,18:41:18,27.12,44.90,0.06
,17/11/2021,18:42:22,27.18,43.93,0.09
,17/11/2021,18:42:57,27.25,43.93,0.09
,17/11/2021,18:43:18,27.29,43.13,0.11
,17/11/2021,18:43:57,27.31,43.38,0.06
,17/11/2021,18:44:59,27.35,43.09,0.06
,17/11/2021,18:45:35,27.42,43.12,0.09
,17/11/2021,18:46:14,27.45,43.47,0.07
,17/11/2021,18:47:18,27.50,43.27,0.09
,17/11/2021,18:47:35,27.55,42.93,0.09
,17/11/2021,18:48:13,27.57,42.95,0.09
,17/11/2021,18:48:35,27.60,42.84,0.06
,17/11/2021,18:49:12,27.62,44.70,0.08
,17/11/2021,18:50:15,27.65,43.26,0.06
,17/11/2021,18:50:52,27.70,45.59,0.08
,17/11/2021,18:51:31,27.72,44.06,0.07
,17/11/2021,18:51:52,27.76,43.55,0.08
,17/11/2021,18:52:30,27.76,43.31,0.07
,17/11/2021,18:53:33,27.80,43.54,0.09
,17/11/2021,18:54:09,27.84,43.74,0.07
,17/11/2021,18:54:30,27.88,43.82,0.07
,17/11/2021,18:55:08,27.88,44.47,0.08
,17/11/2021,18:55:48,27.91,44.21,0.08
,17/11/2021,18:56:10,27.94,44.07,0.10
,17/11/2021,18:56:47,27.94,44.49,0.07
,17/11/2021,18:57:27,27.96,44.15,0.07
,17/11/2021,18:57:48,27.99,44.10,0.05
,17/11/2021,18:58:26,28.00,44.27,0.06
,17/11/2021,18:59:05,28.02,44.32,0.06
,17/11/2021,18:59:27,28.03,43.98,-0.22
,17/11/2021,19:00:05,28.02,43.77,0.07
,17/11/2021,19:00:44,27.99,44.20,0.03
,17/11/2021,19:01:24,27.92,44.93,0.30
,17/11/2021,19:02:09,27.77,45.07,-0.38
,17/11/2021,19:02:25,27.70,45.14,0.19
,17/11/2021,19:03:03,27.68,45.10,0.16
,17/11/2021,19:04:06,27.53,44.92,0.13
,17/11/2021,19:05:06,27.40,44.72,-0.22
,17/11/2021,19:05:41,27.26,44.40,-0.25
,17/11/2021,19:06:03,27.16,44.14,0.23
,17/11/2021,19:06:40,27.12,44.04,0.07
,17/11/2021,19:08:39,26.89,43.35,0.34
,17/11/2021,19:09:19,26.82,43.08,0.37
,17/11/2021,19:09:59,26.73,42.81,-0.12
,17/11/2021,19:10:20,26.65,42.73,0.38
,17/11/2021,19:10:57,26.62,42.65,0.59
,17/11/2021,19:12:00,26.57,42.37,0.02
,17/11/2021,19:12:41,26.53,41.93,0.09
,17/11/2021,19:12:58,26.48,41.53,0.16
,17/11/2021,19:13:36,26.44,41.46,-0.44
,17/11/2021,19:14:15,26.42,41.30,0.08
,17/11/2021,19:14:54,26.38,40.99,0.07
,17/11/2021,19:15:58,26.31,41.17,0.06
,17/11/2021,19:16:33,26.28,42.66,0.05
,17/11/2021,19:16:55,26.32,43.18,-0.24
,17/11/2021,19:17:33,26.35,43.33,0.10
,17/11/2021,19:19:13,26.39,43.41,-0.12
,17/11/2021,19:19:51,26.38,43.24,0.20
,17/11/2021,19:20:31,26.36,43.00,0.29
,17/11/2021,19:21:10,26.34,42.77,0.70
,17/11/2021,19:21:32,26.34,42.52,0.47
,17/11/2021,19:22:09,26.35,42.33,-0.12
,17/11/2021,19:22:48,26.31,41.95,0.17
,17/11/2021,19:23:33,26.29,41.65,-0.19
,17/11/2021,19:24:31,26.27,41.41,-0.04
,17/11/2021,19:25:07,26.23,41.10,0.08
,17/11/2021,19:25:29,26.20,40.93,0.05
,17/11/2021,19:26:06,26.19,40.94,0.07
,17/11/2021,19:26:46,26.17,41.26,0.07
,17/11/2021,19:27:49,26.19,41.69,0.09
,17/11/2021,19:28:49,26.21,42.66,0.07
,17/11/2021,19:29:06,26.25,43.08,0.19
,17/11/2021,19:29:26,26.27,42.79,0.20
,17/11/2021,19:30:03,26.27,42.61,-0.08
,17/11/2021,19:30:25,26.25,42.44,0.13
,17/11/2021,19:30:45,26.25,42.30,-0.29
,17/11/2021,19:31:23,26.25,42.14,0.04
,17/11/2021,19:32:02,26.23,41.91,0.02
,17/11/2021,19:32:42,26.23,41.71,0.57
,17/11/2021,19:33:21,26.20,41.33,0.03
,17/11/2021,19:34:00,26.17,41.13,0.05
,17/11/2021,19:35:13,26.17,40.81,0.08
,17/11/2021,19:35:40,26.16,40.55,0.07
,17/11/2021,19:36:01,26.12,40.63,0.09
,17/11/2021,19:36:21,26.12,40.74,0.06
,17/11/2021,19:37:22,26.12,41.91,0.08
,17/11/2021,19:37:58,26.12,42.00,0.06
,17/11/2021,19:38:37,26.17,42.05,0.08
,17/11/2021,19:39:17,26.24,42.07,0.08
,17/11/2021,19:39:58,26.32,42.02,0.03
,17/11/2021,19:40:36,26.42,41.92,0.05
,17/11/2021,19:40:57,26.51,41.86,0.07
,17/11/2021,19:41:35,26.55,41.88,0.06
,17/11/2021,19:41:57,26.63,41.88,0.07
,17/11/2021,19:42:34,26.68,41.67,0.06
,17/11/2021,19:42:56,26.73,42.72,0.07
,17/11/2021,19:43:16,26.77,42.77,0.07
,17/11/2021,19:43:54,26.80,42.74,0.07
,17/11/2021,19:44:33,26.87,42.55,0.08
,17/11/2021,19:44:55,26.91,42.33,0.07
,17/11/2021,19:45:33,26.93,42.33,0.08
,17/11/2021,19:46:12,27.00,42.18,0.09
,17/11/2021,19:46:52,27.06,42.02,0.06
,17/11/2021,19:47:55,27.11,41.99,0.08
,17/11/2021,19:48:54,27.18,41.88,0.09
,17/11/2021,19:49:30,27.25,41.85,0.08
,17/11/2021,19:49:51,27.30,41.78,0.05
,17/11/2021,19:50:11,27.33,41.79,0.07
,17/11/2021,19:50:30,27.34,41.77,0.07
,17/11/2021,19:51:32,27.37,41.76,0.06
,17/11/2021,19:52:08,27.41,41.74,0.04
,17/11/2021,19:52:29,27.44,41.74,0.06
,17/11/2021,19:53:07,27.46,41.76,0.05
,17/11/2021,19:54:48,27.55,41.80,0.10
,17/11/2021,19:55:25,27.57,41.81,0.06
,17/11/2021,19:56:13,27.58,41.86,0.06
,17/11/2021,19:56:26,27.61,41.88,0.09
,17/11/2021,19:57:04,27.62,41.88,0.07
,17/11/2021,19:57:44,27.64,41.88,0.05
,17/11/2021,19:58:23,27.66,41.88,0.10
,17/11/2021,19:59:27,27.68,41.88,0.07
,17/11/2021,20:00:02,27.72,41.99,0.07
,17/11/2021,20:00:41,27.72,42.00,0.08
,17/11/2021,20:01:50,27.73,42.07,0.07
,17/11/2021,20:02:03,27.77,42.16,0.09
,17/11/2021,20:02:40,27.77,42.21,0.09
,17/11/2021,20:04:21,27.83,42.39,0.11
,17/11/2021,20:04:40,27.83,42.41,0.09
,17/11/2021,20:05:18,27.84,42.43,0.09
,17/11/2021,20:05:58,27.84,42.46,0.08
,17/11/2021,20:07:06,27.85,42.57,0.11
,17/11/2021,20:07:38,27.88,42.65,0.09
,17/11/2021,20:08:16,27.90,42.75,0.09
,17/11/2021,20:08:56,27.91,42.88,0.07
,17/11/2021,20:09:17,27.92,42.90,0.09
,17/11/2021,20:10:18,27.92,42.95,0.05
,17/11/2021,20:10:54,27.92,43.08,0.09
,17/11/2021,20:11:58,27.92,43.18,0.09
,17/11/2021,20:12:38,27.94,43.26,0.09
,17/11/2021,20:13:13,27.95,43.33,0.07
,17/11/2021,20:13:34,27.96,43.45,0.05
,17/11/2021,20:14:12,27.96,43.52,0.10
,17/11/2021,20:15:15,27.99,43.61,0.07
,17/11/2021,20:16:15,28.00,43.66,0.07
,17/11/2021,20:17:01,28.02,43.73,0.08
,17/11/2021,20:17:12,27.98,43.76,0.08
,17/11/2021,20:17:50,28.02,43.95,0.08
,17/11/2021,20:18:53,28.03,44.07,0.08
,17/11/2021,20:19:16,28.04,44.21,0.09
,17/11/2021,20:19:49,27.99,44.09,0.07
,17/11/2021,20:20:29,28.06,44.27,0.08
,17/11/2021,20:21:08,28.07,44.31,0.05
,17/11/2021,20:21:47,28.07,44.37,0.05
,17/11/2021,20:22:26,28.09,44.48,0.06
,17/11/2021,20:22:47,28.09,44.59,0.07
,17/11/2021,20:23:07,28.09,44.65,0.09
,17/11/2021,20:23:46,28.10,44.77,0.08
,17/11/2021,20:24:25,28.10,44.77,0.08
,17/11/2021,20:25:28,28.10,44.84,0.07
,17/11/2021,20:26:27,28.13,44.81,0.07
,17/11/2021,20:27:03,28.13,45.03,0.07
,17/11/2021,20:27:42,28.14,45.23,0.07
,17/11/2021,20:28:04,28.14,45.32,0.09
,17/11/2021,20:28:42,28.14,45.31,0.10
,17/11/2021,20:29:45,28.15,45.25,0.08
,17/11/2021,20:30:21,28.15,45.45,0.08
,17/11/2021,20:30:42,28.17,45.40,0.08
,17/11/2021,20:31:32,28.18,45.31,0.09
,17/11/2021,20:32:11,28.18,45.50,0.06
,17/11/2021,20:32:39,28.18,45.69,0.09
,17/11/2021,20:33:43,28.18,45.73,0.06
,17/11/2021,20:34:18,28.19,45.84,0.09
,17/11/2021,20:34:58,28.19,45.95,0.05
,17/11/2021,20:35:37,28.21,46.01,0.07
,17/11/2021,20:35:59,28.21,45.87,0.07
,17/11/2021,20:36:18,28.22,45.87,0.08
,17/11/2021,20:36:56,28.22,45.94,0.08
,17/11/2021,20:37:36,28.22,46.01,0.06
,17/11/2021,20:38:15,28.24,46.09,0.08
,17/11/2021,20:39:20,28.24,46.26,0.04
,17/11/2021,20:39:55,28.25,46.26,0.09
,17/11/2021,20:40:16,28.25,46.20,0.09
,17/11/2021,20:40:53,28.25,46.30,0.08
,17/11/2021,20:41:33,28.26,46.55,0.06
,17/11/2021,20:42:13,28.26,46.64,0.07
,17/11/2021,20:42:52,28.26,46.59,0.07
,17/11/2021,20:43:44,28.28,46.62,0.07
,17/11/2021,20:43:53,28.29,46.66,0.04
,17/11/2021,20:44:34,28.29,46.66,0.07
,17/11/2021,20:45:11,28.29,46.76,0.08
,17/11/2021,20:45:50,28.29,47.00,0.08
,17/11/2021,20:46:30,28.29,47.08,0.05
,17/11/2021,20:47:10,28.30,47.27,0.08
,17/11/2021,20:47:49,28.30,47.29,0.07
,17/11/2021,20:48:28,28.30,47.35,0.08
,17/11/2021,20:49:35,28.30,47.48,0.07
,17/11/2021,20:50:10,28.32,47.44,0.09
,17/11/2021,20:50:47,28.32,47.50,0.07
,17/11/2021,20:51:51,28.32,47.65,0.08
,17/11/2021,20:52:08,28.32,47.60,0.06
,17/11/2021,20:52:28,28.32,47.67,0.06
,17/11/2021,20:53:05,28.33,47.76,0.07
,17/11/2021,20:54:08,28.32,47.81,0.05
,17/11/2021,20:54:44,28.33,47.78,0.08
,17/11/2021,20:56:43,28.33,48.18,0.09
,17/11/2021,20:58:41,28.33,48.49,0.08
,17/11/2021,20:59:03,28.34,48.49,0.06
,17/11/2021,21:00:05,28.34,48.49,0.08
,17/11/2021,21:00:40,28.33,48.89,0.07
,17/11/2021,21:01:08,28.34,48.80,0.07
,17/11/2021,21:02:15,28.36,48.75,0.07
,17/11/2021,21:03:46,28.36,48.99,0.05
,17/11/2021,21:04:00,28.37,48.95,0.09
,17/11/2021,21:04:37,28.36,48.97,0.05
,17/11/2021,21:08:07,28.36,49.42,0.05
,17/11/2021,21:08:26,28.37,49.33,0.08
,17/11/2021,21:09:06,28.37,49.35,0.08
,17/11/2021,21:09:58,28.37,49.57,0.09
,17/11/2021,21:11:40,28.36,49.70,0.08
,17/11/2021,21:12:00,28.37,49.89,0.08
,17/11/2021,21:12:32,28.38,49.90,0.10
,17/11/2021,21:14:23,28.38,50.16,0.06
,17/11/2021,21:14:43,28.38,50.14,0.09
,17/11/2021,21:14:58,28.38,50.14,0.09
,17/11/2021,21:15:31,28.40,50.14,0.06
,17/11/2021,21:15:51,28.38,50.16,0.10
,17/11/2021,21:18:12,28.37,50.22,0.06
,17/11/2021,21:18:36,28.38,50.40,0.08
,17/11/2021,21:20:16,28.37,50.54,0.09
,17/11/2021,21:20:47,28.37,50.46,0.08
,17/11/2021,21:22:33,28.37,50.99,0.09
,17/11/2021,21:24:24,28.37,50.97,0.06
,17/11/2021,21:25:04,28.37,51.01,0.08
,17/11/2021,21:25:27,28.38,51.06,0.07
,17/11/2021,21:26:08,28.38,51.11,0.09
,17/11/2021,21:26:43,28.38,51.26,0.07
,17/11/2021,21:28:23,28.38,51.58,0.06
,17/11/2021,21:30:32,28.37,51.74,0.06
,17/11/2021,21:30:59,28.37,51.80,0.06
,17/11/2021,21:31:21,28.37,51.80,0.06
,17/11/2021,21:31:59,28.37,52.06,0.08
,17/11/2021,21:33:14,28.37,52.14,0.06
,17/11/2021,21:35:33,28.36,52.31,0.09
,17/11/2021,21:38:22,28.36,52.77,0.07
,17/11/2021,21:39:30,28.37,52.70,0.08
,17/11/2021,21:40:05,28.37,52.70,0.08
,17/11/2021,21:40:45,28.36,53.00,0.07
,17/11/2021,21:41:25,28.36,53.67,0.06
,17/11/2021,21:42:05,28.36,53.15,0.08
,17/11/2021,21:42:14,28.36,53.05,0.07
,18/11/2021,00:38:44,28.07,63.35,0.07
,18/11/2021,00:39:33,28.06,64.40,0.09
,18/11/2021,00:40:13,28.07,63.95,0.06
,18/11/2021,00:41:16,28.06,63.64,0.08
,18/11/2021,00:41:52,28.06,62.95,0.08
,18/11/2021,00:42:13,28.07,62.55,0.06
,18/11/2021,00:42:51,28.06,62.76,0.09
,18/11/2021,00:43:55,28.06,63.49,0.08
,18/11/2021,00:44:31,28.07,63.24,0.05
,18/11/2021,00:45:09,28.06,63.49,0.08
,18/11/2021,00:45:31,28.07,64.12,0.08
,18/11/2021,00:46:33,28.06,64.31,0.10
,18/11/2021,00:47:08,28.04,64.22,0.07
,18/11/2021,00:47:47,28.04,64.07,0.08
,18/11/2021,00:48:51,28.04,64.93,0.07
,18/11/2021,00:49:26,28.03,64.48,0.06
,18/11/2021,00:49:58,28.03,63.73,0.06
,18/11/2021,00:50:26,28.03,63.60,0.05
,18/11/2021,00:50:47,28.02,63.31,0.07
,18/11/2021,00:51:25,28.03,64.37,0.05
,18/11/2021,00:51:47,28.02,63.96,0.11
,18/11/2021,00:52:07,28.02,63.59,0.08
,18/11/2021,00:53:45,28.00,64.03,0.07
,18/11/2021,00:54:23,28.00,63.75,0.10
,18/11/2021,00:55:03,28.00,63.78,0.07
,18/11/2021,00:55:28,28.02,63.98,0.08
,18/11/2021,00:56:02,28.02,63.73,0.11
,18/11/2021,00:56:41,28.02,65.12,0.08
,18/11/2021,00:57:45,28.00,64.59,0.09
,18/11/2021,00:58:09,27.99,64.34,0.08
,18/11/2021,00:58:40,28.00,64.14,0.07
,18/11/2021,00:59:02,28.00,64.20,0.07
,18/11/2021,00:59:22,27.99,64.50,0.07
,18/11/2021,00:59:59,27.99,63.71,0.10
,18/11/2021,01:00:39,27.98,63.30,0.05
,18/11/2021,01:01:18,28.00,63.49,0.08
,18/11/2021,01:02:22,27.99,64.23,0.07
,18/11/2021,01:02:58,28.00,64.57,0.08
,18/11/2021,01:03:24,27.98,63.85,0.08
,18/11/2021,01:03:39,27.98,63.64,0.08
,18/11/2021,01:04:41,27.96,64.64,0.08
,18/11/2021,01:05:16,27.98,64.51,0.05
,18/11/2021,01:05:38,27.96,64.34,0.09
,18/11/2021,04:23:10,27.57,67.78,0.07
,18/11/2021,04:23:32,27.57,67.66,0.06
,18/11/2021,04:23:42,27.57,67.76,0.07
,18/11/2021,04:24:01,27.58,68.06,0.08
,18/11/2021,04:24:21,27.57,68.13,0.06
,18/11/2021,04:24:41,27.57,68.10,0.07
,18/11/2021,04:25:01,27.57,67.93,0.09
,18/11/2021,04:25:20,27.57,68.01,0.06
,18/11/2021,04:25:40,27.57,68.15,0.07
,18/11/2021,04:26:00,27.58,68.08,0.07
,18/11/2021,04:26:20,27.57,68.15,0.08
,18/11/2021,04:26:40,27.58,68.37,0.07
,18/11/2021,04:26:59,27.57,68.35,0.05
,18/11/2021,04:27:21,27.57,68.18,0.07
,18/11/2021,04:27:39,27.55,68.19,0.08
,18/11/2021,04:27:59,27.57,68.56,0.09
,18/11/2021,04:28:18,27.57,68.90,0.07
,18/11/2021,04:28:38,27.55,68.84,0.07
,18/11/2021,04:28:58,27.55,68.42,0.07
,18/11/2021,04:29:18,27.55,68.23,0.06
,18/11/2021,04:29:38,27.55,68.15,0.09
,18/11/2021,04:29:57,27.55,68.44,0.08
,18/11/2021,04:30:17,27.55,68.49,0.09
,18/11/2021,04:30:37,27.57,68.84,0.09
,18/11/2021,04:30:57,27.55,68.68,0.05
,18/11/2021,04:31:16,27.57,68.35,0.09
,18/11/2021,04:31:36,27.53,68.33,0.07
,18/11/2021,04:31:56,27.55,68.38,0.09
,18/11/2021,04:32:16,27.55,68.25,0.08
,18/11/2021,04:32:36,27.53,68.23,0.07
,18/11/2021,04:32:55,27.55,68.33,0.07
,18/11/2021,04:33:16,27.53,68.35,0.07
,18/11/2021,04:33:36,27.53,68.59,0.07
,18/11/2021,04:33:55,27.55,68.46,0.05
,18/11/2021,04:34:15,27.53,68.27,0.07
,18/11/2021,04:34:34,27.53,68.09,0.09
,18/11/2021,04:34:54,27.53,67.96,0.09
